DEPTH	N2.0M0.5A	N11.0M0.5A
M	OHMM	OHMM
21.0000	17.7439	17.1149
21.1000	16.7374	16.2179
21.2000	15.4864	15.0980
21.3000	14.1433	13.9012
21.4000	12.9963	12.8901
21.5000	12.0769	12.0851
21.6000	11.2736	11.3855
21.7000	10.5393	10.7503
21.8000	9.8696	10.1754
21.9000	9.3529	9.7356
22.0000	8.9773	9.4147
22.1000	8.6908	9.1672
22.2000	8.4778	8.9825
22.3000	8.3297	8.8519
22.4000	8.2029	8.7367
22.5000	8.1185	8.6561
22.6000	8.0530	8.5902
22.7000	7.9650	8.5046
22.8000	7.8606	8.4044
22.9000	7.7928	8.3377
23.0000	7.7523	8.2957
23.1000	7.7230	8.2610
23.2000	7.6942	8.2252
23.3000	7.6708	8.1941
23.4000	7.6302	8.1478
23.5000	7.6010	8.1113
23.6000	7.6147	8.1099
23.7000	7.6605	8.1327
23.8000	7.6901	8.1349
23.9000	7.6996	8.1148
24.0000	7.6930	8.0808
24.1000	7.6789	8.0426
24.2000	7.6787	8.0185
24.3000	7.7097	8.0226
24.4000	7.7557	8.0409
24.5000	7.7860	8.0479
24.6000	7.7829	8.0277
24.7000	7.7664	7.9971
24.8000	7.7489	7.9667
24.9000	7.7359	7.9419
25.0000	7.7433	7.9355
