DEPTH	B5.7A0.4M	B4.48A1.62M	M1.0A0.1B	A2.0M0.5N	N0.5M2.0A	M4.0A0.5B	N2.0M0.5A	N11.0M0.5A
M	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM	OHMM
6.8000	17.1967	21.8534	23.5257	25.0826	13.5191	11.0705	18.9496	18.5814
6.9000	17.1692	21.4843	23.5015	25.5919	13.2796	11.3494	18.8677	18.5321
7.0000	17.1697	21.0477	23.2880	25.9474	13.0558	11.6394	18.8266	18.5095
7.1000	17.1285	20.5046	22.9940	26.2882	12.9003	12.0207	18.7269	18.4274
7.2000	16.9826	19.8392	22.9635	26.7502	12.8053	12.5779	18.5067	18.2341
7.3000	16.7329	19.0314	23.3553	27.2032	12.6931	13.3847	18.2168	17.9715
7.4000	16.4817	18.0836	23.9211	27.5743	12.5266	14.3754	17.9335	17.7080
7.5000	16.2832	17.0742	23.9356	27.8921	12.3345	15.3378	17.6735	17.4600
7.6000	16.1053	16.1688	23.4720	28.1547	12.1553	16.1801	17.4021	17.1966
7.7000	15.8328	15.5114	23.3071	28.3610	12.0131	16.8875	17.0287	16.8349
7.8000	15.3540	15.0175	23.7159	28.6491	11.9079	17.5652	16.4262	16.2633
7.9000	14.6543	14.6179	24.5832	29.2133	11.7811	18.3374	15.5132	15.4144
8.0000	13.7413	14.3062	25.5875	29.9229	11.5345	19.1179	14.3416	14.3376
8.1000	12.6764	14.0748	26.6220	30.3386	11.0617	19.6270	13.0492	13.1605
8.2000	11.6026	13.9097	27.1949	29.9420	10.3621	19.4762	11.9145	12.1371
8.3000	10.7424	13.7822	26.4808	28.5906	9.6230	18.6326	11.0423	11.3583
8.4000	10.0414	13.6495	23.5471	26.4195	8.9648	17.2800	10.3244	10.7230
8.5000	9.4016	13.5078	20.0782	23.6369	8.4541	15.6052	9.6723	10.1524
8.6000	8.8400	13.3654	17.6920	20.7001	8.1652	13.9025	9.0636	9.6282
8.7000	8.4289	13.2362	15.8303	18.3007	8.1278	12.5769	8.5427	9.1847
8.8000	8.1545	13.1286	14.2173	16.6018	8.2202	11.6652	8.1700	8.8717
8.9000	7.9782	13.0441	13.0078	15.3055	8.3382	10.9872	7.9287	8.6753
9.0000	7.8600	12.9796	12.0484	14.2870	8.4980	10.4599	7.7710	8.5542
9.1000	7.7884	12.9083	11.1894	13.5134	8.7466	10.0864	7.6564	8.4715
9.2000	7.7396	12.7847	10.4760	12.9109	9.0814	9.8408	7.5700	8.4123
9.3000	7.6945	12.5806	9.9254	12.4324	9.5045	9.6793	7.4974	8.3637
9.4000	7.6619	12.3357	9.4708	12.0575	9.9978	9.5858	7.4453	8.3326
9.5000	7.6673	12.0992	9.0298	11.7522	10.5107	9.5412	7.4412	8.3441
9.6000	7.7461	11.8765	8.6138	11.4603	11.0261	9.5076	7.5346	8.4425
9.7000	7.9300	11.6763	8.2040	11.1515	11.6341	9.4809	7.7630	8.6579
9.8000	8.2267	11.4912	7.7393	10.9090	12.5139	9.5716	8.1157	8.9721
9.9000	8.5908	11.3057	7.3372	10.8678	13.5838	9.9086	8.5076	9.3061
10.0000	8.9409	11.1321	7.3517	11.0187	14.4668	10.4328	8.8977	9.6301
10.1000	9.3022	10.9921	7.9387	11.3450	15.0322	11.0801	9.3026	9.9633
10.2000	9.7630	10.8979	8.4726	11.8033	15.2449	11.7872	9.7874	10.3623
10.3000	10.3654	10.8382	8.7767	12.2278	15.0606	12.3947	10.4547	10.9125
10.4000	10.9110	10.8147	9.0261	12.4684	14.7005	12.7971	11.1758	11.5030
10.5000	11.2616	10.8423	9.3206	12.5638	14.3934	13.0913	11.7125	11.9320
10.6000	11.4648	10.9054	9.8489	12.5429	14.1326	13.3424	12.0768	12.2078
10.7000	11.5865	11.0093	10.4314	12.4311	13.9129	13.5570	12.3432	12.3937
10.8000	11.7007	11.2031	10.8612	12.3102	13.7495	13.7593	12.5507	12.5272
10.9000	11.8010	11.5185	11.1807	12.1850	13.5826	13.9212	12.7218	12.6300
11.0000	11.8488	11.8591	11.6430	12.0133	13.3409	13.9955	12.8769	12.7221
11.1000	11.8799	12.1425	12.4432	11.8192	13.0501	14.0052	13.0199	12.8079
11.2000	11.9061	12.3667	13.1008	11.6636	12.7729	14.0060	13.1240	12.8642
11.3000	11.9505	12.5039	13.4163	11.5130	12.4728	13.9606	13.2363	12.9306
